Selection	View	Channel	Begin File	File Offset (s)	Delta Time (s)	High Freq (Hz)	Begin Time (s)	End Time (s)
1	Spectrogram 1	1	Anaxyrus_boreas_halophilus2.wav	0.9228	1.1553	16984.500	0.922833557	2.078136635
2	Spectrogram 1	1	Anaxyrus_boreas_halophilus3.wav	0.1293	2.5642	17282.400	2.845990510	5.410199782
3	Spectrogram 1	1	Anaxyrus_boreas_halophilus3.wav	3.1971	2.7086	15867.757	5.913881705	8.622503861
4	Spectrogram 1	1	Anaxyrus_boreas_halophilus3.wav	5.9656	2.7157	16176.869	8.682380661	11.398047349
5	Spectrogram 1	1	bbhalophiluscc310.wav	1.1493	1.0426	17081.724	12.799907261	13.842497844
6	Spectrogram 1	1	bbhalophiluscc310.wav	4.5060	0.7467	16736.100	16.156629730	16.903350012
7	Spectrogram 1	1	bbhalophiluscc310.wav	5.9515	1.0935	14219.159	17.602163754	18.695639104
8	Spectrogram 1	1	bbhalophiluscc310.wav	7.5912	1.4982	15668.359	19.241815202	20.740018442
9	Spectrogram 1	1	bbhalophiluscc310.wav	9.4302	0.9302	15763.607	21.080841928	22.011006025
10	Spectrogram 1	1	bbhalophiluscc310.wav	10.8361	1.1148	15906.479	22.486738807	23.601515625
11	Spectrogram 1	1	bbhalophiluscc310.wav	12.9024	1.6118	16239.849	24.552981190	26.164792259
12	Spectrogram 1	1	bbhalophiluscc310.wav	15.6005	1.4911	16573.218	27.251167120	28.742269870
13	Spectrogram 1	1	bbhalophiluscc310.wav	18.8029	1.0935	16287.473	30.453487789	31.546963139
14	Spectrogram 1	1	bbhalophiluscc310.wav	21.4940	5.8153	16954.212	33.144573229	38.959873956
15	Spectrogram 1	1	bbhalophiluscc310.wav	28.7720	1.0189	15954.104	40.422574750	41.441494963
16	Spectrogram 1	1	bbhalophiluscc310.wav	31.1187	0.8805	12668.035	42.769286459	43.649747131
17	Spectrogram 1	1	bbhalophiluscc310.wav	32.0915	1.9739	13953.888	43.742053492	45.715989514
18	Spectrogram 1	1	bbhalophiluscc310.wav	35.9363	4.3982	13001.404	47.586881863	51.985106277
