Selection	View	Channel	Begin File	File Offset (s)	Delta Time (s)	High Freq (Hz)	Begin Time (s)	End Time (s)
8	Spectrogram 1	1	pregillach606.wav	0.3435	0.6226	3649.301	0.343503032	0.966102278
9	Spectrogram 1	1	pregillach606.wav	1.0341	0.4616	3649.301	1.034087253	1.495669452
10	Spectrogram 1	1	pregillach606.wav	1.5422	0.4866	3854.895	1.542185488	2.028814783
11	Spectrogram 1	1	pregillach606.wav	2.2900	0.5403	4111.888	2.290020214	2.830321858
12	Spectrogram 1	1	pregillach606.wav	2.9556	0.6262	4111.888	2.955557339	3.581734741
13	Spectrogram 1	1	pregillach606.wav	3.6855	0.6834	4214.685	3.685501282	4.368929189
14	Spectrogram 1	1	pregillach606.wav	4.4262	0.8874	4163.287	4.426179695	5.313562528
15	Spectrogram 1	1	pregillach606.wav	5.4493	0.7793	3906.294	5.449308129	6.228590875
16	Spectrogram 1	1	pregillach606.wav	6.2741	0.6022	4009.091	6.274133373	6.876306403
17	Spectrogram 1	1	pregillach606.wav	6.9269	0.8400	3700.699	6.926909179	7.766915256
18	Spectrogram 1	1	pregillach606.wav	7.8529	0.7641	3649.301	7.852939974	8.617041887
19	Spectrogram 1	1	pregillach606.wav	8.7233	0.9159	3597.902	8.723307716	9.639217957
20	Spectrogram 1	1	psierraac609solo.wav	0.0773	0.3137	3032.517	10.317295151	10.631032360
21	Spectrogram 1	1	psierraac609solo.wav	0.8465	0.3492	3135.315	11.086457342	11.435616494
22	Spectrogram 1	1	psierraac609solo.wav	1.7776	0.3745	2672.727	12.017548414	12.392008955
23	Spectrogram 1	1	psierraac609solo.wav	2.4303	0.3441	3032.517	12.670324221	13.014423096
24	Spectrogram 1	1	psierraac609solo.wav	3.1793	0.3998	3083.916	13.419245301	13.819007229
25	Spectrogram 1	1	psierraac609solo.wav	3.9636	0.3694	3340.909	14.203588325	14.572988587
26	Spectrogram 1	1	psierraac609solo.wav	4.8036	0.3542	3032.517	15.043594401	15.397813831
27	Spectrogram 1	1	psierraac609solo.wav	5.5373	0.3239	3546.503	15.777334649	16.101192413
28	Spectrogram 1	1	psierraac609solo.wav	6.3101	0.4365	3597.902	16.550070650	16.986605753
29	Spectrogram 1	1	psierraac609solo.wav	6.8826	0.4294	3597.902	17.122575703	17.551954493
30	Spectrogram 1	1	psierraac609solo.wav	7.4909	0.4723	3597.902	17.730862323	18.203178992
31	Spectrogram 1	1	psierraac609solo.wav	8.0419	0.3471	3443.706	18.281898437	18.628979625
32	Spectrogram 1	1	psierraac609solo.wav	8.6037	0.2898	3597.902	18.843669020	19.133499704
33	Spectrogram 1	1	psierraac609solo.wav	9.2620	0.2934	3700.699	19.502049832	19.795458672
34	Spectrogram 1	1	psierraac609solo.wav	9.8202	0.4043	3700.699	20.060242259	20.464573953
35	Spectrogram 1	1	psierraac609solo.wav	10.4822	0.3829	4009.091	20.722201227	21.105063982
36	Spectrogram 1	1	psierrabu210.wav	0.6690	0.2111	3289.510	22.167776487	22.378887726
37	Spectrogram 1	1	psierrabu210.wav	0.9445	0.3041	3392.308	22.443294544	22.747437854
38	Spectrogram 1	1	psierrabu210.wav	1.3703	0.3507	3546.503	22.869095178	23.219754523
39	Spectrogram 1	1	psierrabu210.wav	1.8569	0.4079	3957.692	23.355724473	23.763634324
40	Spectrogram 1	1	psierrabu210.wav	2.3865	0.4294	3957.692	23.885291648	24.314670438
41	Spectrogram 1	1	psierrabu210.wav	3.3455	0.2684	3803.497	24.844237612	25.112599356
42	Spectrogram 1	1	psierrabu210.wav	3.7677	0.2505	3546.503	25.266460089	25.516931050
43	Spectrogram 1	1	psierrabu210.wav	4.0611	0.2290	3752.098	25.559868929	25.788870951
44	Spectrogram 1	1	psierrabu210.wav	4.3473	0.2648	3854.895	25.846121456	26.110905043
45	Spectrogram 1	1	psierrabu210.wav	4.6801	0.2505	4009.091	26.178890018	26.429360979
46	Spectrogram 1	1	psierrabu210.wav	4.9700	0.2075	4523.077	26.468720702	26.676253783
47	Spectrogram 1	1	psierrabu210.wav	5.2634	0.2218	4163.287	26.762129541	26.983975250
48	Spectrogram 1	1	psierrabu210.wav	5.9039	0.2469	3392.308	27.402619570	27.649512374
49	Spectrogram 1	1	psierrabu210.wav	6.5443	0.2612	3649.301	28.043109599	28.304315029
50	Spectrogram 1	1	psierrabu210.wav	7.7394	0.2970	4214.685	29.238213898	29.535200894
51	Spectrogram 1	1	psierrabu210.wav	8.0937	0.3578	4111.888	29.592451400	29.950267058
52	Spectrogram 1	1	psierrabu210.wav	8.5052	0.3256	4317.483	30.003939407	30.329551656
53	Spectrogram 1	1	psierrabu210.wav	9.8434	0.2505	4060.490	31.342169969	31.592640930
54	Spectrogram 1	1	psierrabu210.wav	10.4266	0.3507	4214.685	31.925409493	32.276068838
55	Spectrogram 1	1	psierrabu210.wav	9.0097	0.2970	3906.294	30.508459485	30.805446482
56	Spectrogram 1	1	psierrabu210.wav	9.3890	0.4008	3957.692	30.887744083	31.288497621
57	Spectrogram 1	1	psierrabu210.wav	11.0886	0.4687	4111.888	32.587368461	33.056106973
58	Spectrogram 1	1	psierrabu210.wav	11.8329	0.2684	4368.881	33.331625030	33.599986774
59	Spectrogram 1	1	psierrabu210.wav	12.8634	0.2934	4471.678	34.362134127	34.655542966
60	Spectrogram 1	1	psierrabu210.wav	13.9726	0.3041	4009.091	35.471362668	35.775505977
61	Spectrogram 1	1	psierrabu210.wav	15.1605	0.2540	4214.685	36.659310654	36.913359771
62	Spectrogram 1	1	psierrabu210.wav	15.6007	0.2934	4471.678	37.099423914	37.392832753
63	Spectrogram 1	1	psierrabu210.wav	16.1374	0.2433	4060.490	37.636147401	37.879462049
64	Spectrogram 1	1	psierrabu210.wav	16.8208	0.2898	4163.287	38.319575309	38.609405992
65	Spectrogram 1	1	psierrabu210.wav	17.2144	0.3721	3957.692	38.713172533	39.085300818
66	Spectrogram 1	1	psierrabu210.wav	17.8155	0.2827	3700.699	39.314302839	39.596977209
67	Spectrogram 1	1	psierrabu210.wav	18.4846	0.5725	3854.895	39.983418121	40.555923174
68	Spectrogram 1	1	psierrabu210.wav	19.1681	0.3292	4214.685	40.666846028	40.996036434
69	Spectrogram 1	1	psierrabu210.wav	19.5796	0.3507	4111.888	41.078334035	41.428993381
70	Spectrogram 1	1	psierrabu210.wav	20.7389	0.3363	4214.685	42.237656769	42.574003488
71	Spectrogram 1	1	psierrabu210.wav	20.1485	0.3757	3803.497	41.647260932	42.022967374
72	Spectrogram 1	1	psierrabu210.wav	21.1897	0.4652	4009.091	42.688504498	43.153664854
73	Spectrogram 1	1	psierrabu210.wav	22.0700	0.2827	4214.685	43.568731018	43.851405388
74	Spectrogram 1	1	psierrabu210.wav	22.4421	0.3793	4009.091	43.940859303	44.320143901
75	Spectrogram 1	1	psierrabu210.wav	23.8125	0.3113	3957.692	45.311293275	45.622592897
76	Spectrogram 1	1	psierrabu210.wav	25.4370	0.3185	4009.091	46.935776364	47.254232300
77	Spectrogram 1	1	psierrabu210.wav	26.0346	0.2719	3854.895	47.533328513	47.805268414
78	Spectrogram 1	1	psierrabu210.wav	26.9506	0.4616	3854.895	48.449336599	48.910918798
79	Spectrogram 1	1	psierrabu210.wav	27.7270	0.3721	3906.294	49.225796578	49.597924863
80	Spectrogram 1	1	psierrabu210.wav	28.2530	0.3185	3752.098	49.751785596	50.070241532
