Selection	View	Channel	Begin File	File Offset (s)	Delta Time (s)	High Freq (Hz)	Begin Time (s)	End Time (s)
1	Spectrogram 1	1	ranaboylii1.wav	0.0082	0.4445	6219.231	0.008178740	0.452699981
2	Spectrogram 1	1	ranaboylii1.wav	2.6744	0.7197	6098.077	2.674447986	3.394177108
3	Spectrogram 1	1	ranaboylii1.wav	4.8418	0.6216	5209.615	4.841814091	5.463398333
4	Spectrogram 1	1	ranaboylii1.wav	7.5980	0.6134	6380.769	7.598049478	8.211454979
5	Spectrogram 1	1	ranaboylii1.wav	10.5097	0.5562	6865.385	10.509680924	11.065835246
6	Spectrogram 1	1	ranaboylii1.wav	11.6874	0.4887	5810.733	11.687419487	12.176137411
7	Spectrogram 1	1	ranaboylii1.wav	14.1381	0.4909	6244.930	14.138097250	14.628976747
8	Spectrogram 1	1	ranaboylii1.wav	16.4335	1.6906	16153.846	16.433499742	18.124087882
11	Spectrogram 1	1	ranaboylii1.wav	25.0045	0.7500	5169.231	25.004477435	25.754432222
12	Spectrogram 1	1	ranaboylii1.wav	28.0449	1.2186	4078.846	28.044899525	29.263531788
13	Spectrogram 1	1	ranaboylii1.wav	31.0874	0.5820	3469.406	31.087390812	31.669375339
99	Spectrogram 1	1	ranaboylii1.wav	32.8611	0.7690	4163.287	32.861121675	33.630166220
14	Spectrogram 1	1	ranaboylii1.wav	33.9773	0.9681	2698.427	33.977338206	34.945461659
101	Spectrogram 1	1	ranaboylii1.wav	35.7336	0.7909	4625.874	35.733595963	36.524457376
15	Spectrogram 1	1	ranaboylii1.wav	38.3583	0.6543	4442.308	38.358272594	39.012589890
16	Spectrogram 1	1	ranaboylii2.wav	0.3447	0.5481	6178.846	39.841819519	40.389968291
17	Spectrogram 1	1	ranaboylii2.wav	3.2474	1.9908	5815.385	42.744522594	44.735311667
18	Spectrogram 1	1	ranaboylii2.wav	5.9411	1.2706	5775.000	45.438225775	46.708784248
19	Spectrogram 1	1	ranaboylii2.wav	7.9363	3.0211	5896.154	47.433502298	50.454647177
20	Spectrogram 1	1	ranaboylii2.wav	18.9451	1.9799	6986.538	58.442200100	60.422080739
21	Spectrogram 1	1	ranaboylii2.wav	21.3772	2.7326	6986.538	60.874310899	63.606873434
22	Spectrogram 1	1	ranaboylii2.wav	31.8406	2.3489	6461.538	71.337702276	73.686565367
23	Spectrogram 1	1	ranaboylii2.wav	42.8833	4.6781	16598.077	82.380399540	87.058458243
24	Spectrogram 1	1	ranaboylii2.wav	54.2052	1.0581	8561.538	93.702337399	94.760455427
25	Spectrogram 1	1	ranaboylii2.wav	56.3412	1.8681	4563.462	95.838319786	97.706388985
26	Spectrogram 1	1	ranaboyliicomposite.wav	0.1289	0.6300	5734.615	98.506049521	99.136011543
27	Spectrogram 1	1	ranaboyliicomposite.wav	1.3561	1.0690	6703.846	99.733248265	100.802274726
28	Spectrogram 1	1	ranaboyliicomposite.wav	3.2164	0.5345	6138.462	101.593544559	102.128057789
29	Spectrogram 1	1	ranaboyliicomposite.wav	4.5090	0.4691	6300.000	102.886193902	103.355256532
31	Spectrogram 1	1	ranaboyliicomposite.wav	5.7401	1.1488	6138.462	104.117268971	105.266027112
30	Spectrogram 1	1	ranaboyliicomposite.wav	7.2359	1.1372	4078.846	105.613034440	106.750238609
32	Spectrogram 1	1	ranaboyliicomposite.wav	9.0865	1.0636	3675.000	107.463602438	108.527174682
35	Spectrogram 1	1	ranaboyliishort1.wav	0.4313	0.6654	4725.000	116.545577357	117.210991786
36	Spectrogram 1	1	ranaboyliishort1.wav	2.4416	0.4781	4523.077	118.555918444	119.034003997
37	Spectrogram 1	1	ranaboyliishort1.wav	3.9106	0.6130	4926.923	120.024862046	120.637885754
38	Spectrogram 1	1	rboyliiair708.wav	0.2964	0.4627	4240.385	121.713568864	122.176228267
39	Spectrogram 1	1	rboyliiair708.wav	2.2165	0.3528	3836.538	123.633605384	123.986383178
40	Spectrogram 1	1	rboyliiair708.wav	3.8358	0.3586	3594.231	125.252913292	125.611474329
41	Spectrogram 1	1	rboyliiair708.wav	10.3945	0.5378	3230.769	131.811621048	132.349462603
42	Spectrogram 1	1	rboyliiair708.wav	11.9097	0.4916	2665.385	133.326830591	133.818406206
43	Spectrogram 1	1	rboyliiairlong708.wav	0.6903	0.3586	3109.615	135.194817928	135.553378964
44	Spectrogram 1	1	rboyliiairlong708.wav	2.5410	0.4511	2988.462	137.045455537	137.496548454
45	Spectrogram 1	1	rboyliiairlong708.wav	8.0287	0.3094	2948.077	142.533163934	142.842567410
46	Spectrogram 1	1	rboyliiairlong708.wav	9.5352	0.4193	3473.077	144.039698613	144.458983697
47	Spectrogram 1	1	rboyliiairlong708.wav	10.6022	0.3759	3675.000	145.106706860	145.482617624
48	Spectrogram 1	1	rboyliiairlong708.wav	12.1550	0.3441	3230.769	146.659507479	147.003610409
49	Spectrogram 1	1	rboyliiairlong708.wav	13.0572	0.3672	3473.077	147.561693313	147.928929214
50	Spectrogram 1	1	rboyliiairlong708.wav	16.9040	0.2861	3743.478	151.408468637	151.694615856
51	Spectrogram 1	1	rboyliiairlong708.wav	18.6824	0.3405	3286.957	153.186838131	153.527376970
52	Spectrogram 1	1	rboyliiairlong708.wav	20.0918	0.3736	3286.957	154.596290548	154.969937330
53	Spectrogram 1	1	rboyliiairlong708.wav	23.7881	0.3500	3378.261	158.292555865	158.642554116
54	Spectrogram 1	1	rboyliiairlong708.wav	24.7127	0.3500	3515.217	159.217213407	159.567211659
55	Spectrogram 1	1	rboyliiairlong708.wav	25.8313	0.3666	3104.348	160.335788900	160.702341122
56	Spectrogram 1	1	rboyliiairlong708.wav	29.2698	0.4068	3286.957	163.774285234	164.181039958
57	Spectrogram 1	1	rboyliiairlong708.wav	30.7833	0.4328	3104.348	165.287791186	165.720559294
58	Spectrogram 1	1	rboyliiairlong708.wav	32.1147	0.4517	3013.043	166.619203453	167.070890385
59	Spectrogram 1	1	rboyliiairshort708.wav	0.1460	0.4351	3195.652	169.915808604	170.350941565
60	Spectrogram 1	1	rboyliiairshort708.wav	1.2528	0.3595	3150.000	171.022559831	171.382017494
61	Spectrogram 1	1	rboyliiairshort708.wav	2.2886	0.3453	2739.130	172.058365467	172.403634012
62	Spectrogram 1	1	rboyliiuw708.wav	1.0996	0.3003	3971.739	174.134706444	174.435042782
63	Spectrogram 1	1	rboyliiuw708.wav	3.0293	0.3382	3652.174	176.064426533	176.402600519
64	Spectrogram 1	1	rboyliiuw708.wav	5.0418	0.4068	5250.000	178.076916478	178.483671203
65	Spectrogram 1	1	rboyliiuw708.wav	7.3925	0.3500	6710.870	180.427580409	180.777578661
66	Spectrogram 1	1	rboyliiuw708.wav	8.7594	0.4541	4976.087	181.794465472	182.248517258
67	Spectrogram 1	1	rboyliiuw708.wav	10.2610	0.3689	4976.087	183.296147158	183.665064234
68	Spectrogram 1	1	rboyliiuw708.wav	11.8668	0.3618	5021.739	184.901882379	185.263704896
69	Spectrogram 1	1	rboyliiuw708.wav	13.2620	0.4257	4884.783	186.297145678	186.722819227
70	Spectrogram 1	1	rboyliiuw708.wav	19.2711	0.5368	7760.870	192.306237278	192.843058920
71	Spectrogram 1	1	rboyliiuw708.wav	20.6924	0.6480	8491.304	193.727513960	194.375483696
72	Spectrogram 1	1	rboyliiuw708.wav	22.6103	0.4517	6163.043	195.645409784	196.097096716
73	Spectrogram 1	1	rboyliiuw708.wav	25.1644	0.5203	6482.609	198.199451077	198.719718748
74	Spectrogram 1	1	rboyliiuw708.wav	26.1103	1.0122	6436.957	199.145392297	200.157549402
75	Spectrogram 1	1	rboyliiuw708.wav	30.1282	0.5699	4291.304	203.163277628	203.733207213
76	Spectrogram 1	1	rboyliiuw708.wav	39.4055	0.7402	5341.304	212.440596142	213.180795147
77	Spectrogram 1	1	rboyliiuw708.wav	45.0940	0.6522	4154.348	218.129138734	218.781298149
78	Spectrogram 1	1	rboyliiuw708.wav	53.8530	0.7291	4565.217	226.888141337	227.617222119
79	Spectrogram 1	1	rboyliiuw708.wav	56.0938	0.5819	6391.304	229.128894198	229.710821061
80	Spectrogram 1	1	rboyliiuw708.wav	57.3513	0.5284	5797.826	230.386391327	230.914807673
81	Spectrogram 1	1	rboyliiuw708.wav	59.0436	0.4649	5980.435	232.078661398	232.543534007
82	Spectrogram 1	1	rboyliiuw708.wav	60.9432	0.5284	4245.652	233.978284719	234.506701066
83	Spectrogram 1	1	rboyliiuw708.wav	63.4548	0.5518	3606.522	236.489934568	237.041761766
84	Spectrogram 1	1	rboyliiuw708.wav	65.5585	0.5150	3378.261	238.593566732	239.108605450
85	Spectrogram 1	1	rboyliiuw708.wav	67.3812	0.5953	3606.522	240.416268687	241.011573178
86	Spectrogram 1	1	rboyliiuw708.wav	70.1336	0.5485	3834.783	243.168715858	243.717198648
