Selection	View	Channel	Begin File	File Offset (s)	Delta Time (s)	High Freq (Hz)	Begin Time (s)	End Time (s)
1	Spectrogram 1	1	8188.wav	4.5535	0.7984	2513.347	4.553502105	5.351924391
2	Spectrogram 1	1	8188.wav	5.6014	0.8358	2956.879	5.601431356	6.437279687
3	Spectrogram 1	1	8188.wav	6.7866	0.7111	2907.598	6.786589438	7.497684287
4	Spectrogram 1	1	8188.wav	7.8719	2.9691	2858.316	7.871944734	10.841077613
5	Spectrogram 1	1	8188.wav	32.5607	0.6986	2710.472	32.560658884	33.259278385
6	Spectrogram 1	1	8188.wav	53.7438	0.8857	2956.879	53.743800182	54.629549906
7	Spectrogram 1	1	8188.wav	55.0911	1.9961	2562.628	55.091137791	57.087193508
8	Spectrogram 1	1	8188.wav	57.4615	1.9087	2858.316	57.461453955	59.370182234
9	Spectrogram 1	1	8188.wav	59.9066	0.6737	2809.035	59.906622208	60.580291013
10	Spectrogram 1	1	8188.wav	69.0261	0.8608	3203.285	69.026101765	69.886900793
11	Spectrogram 1	1	8188.wav	70.2861	0.7360	3696.099	70.286111937	71.022157482
12	Spectrogram 1	1	8188.wav	71.4962	0.7236	3942.505	71.496220715	72.219790913
13	Spectrogram 1	1	8188.wav	72.5940	0.7735	3646.817	72.594051360	73.367522950
14	Spectrogram 1	1	8188.wav	73.9040	0.7485	3745.380	73.903962924	74.652483818
15	Spectrogram 1	1	8188.wav	126.3753	0.8608	3203.285	126.375277586	127.236076614
16	Spectrogram 1	1	8188.wav	127.4731	0.8733	3351.129	127.473108230	128.346382607
17	Spectrogram 1	1	8188.wav	128.6208	0.7236	2907.598	128.620840268	129.344410465
18	Spectrogram 1	1	8188.wav	129.5440	0.8358	2809.035	129.544016037	130.379864368
19	Spectrogram 1	1	8188.wav	130.5795	0.6612	2710.472	130.579469940	131.240663396
20	Spectrogram 1	1	8188.wav	131.5525	0.7236	2858.316	131.552547102	132.276117300
21	Spectrogram 1	1	8188.wav	154.3949	0.8109	2907.598	154.394909714	155.205807349
22	Spectrogram 1	1	8188.wav	165.5853	0.7485	2809.035	165.585297078	166.333817972
23	Spectrogram 1	1	8188.wav	186.6811	0.6612	2809.035	186.681110937	187.342304394
24	Spectrogram 1	1	8188.wav	230.8189	0.7984	2759.754	230.818892981	231.617315268
25	Spectrogram 1	1	8188.wav	241.5976	0.7111	3154.004	241.597593853	242.308688702
26	Spectrogram 1	1	8188.wav	256.2936	0.7984	2956.879	256.293554070	257.091976357
27	Spectrogram 1	1	8188.wav	282.4544	0.6861	2562.628	282.454359311	283.140503464
28	Spectrogram 1	1	8188.wav	296.0899	2.7072	2907.598	296.089914929	298.797065495
29	Spectrogram 1	1	8188.wav	299.3959	0.7360	2513.347	299.395882210	300.131927756
30	Spectrogram 1	1	8189.wav	27.4011	0.7360	2562.628	333.628237757	334.364283303
31	Spectrogram 1	1	8189.wav	28.4865	0.7111	2710.472	334.713593054	335.424687903
32	Spectrogram 1	1	8189.wav	29.5469	0.6861	2809.035	335.773997653	336.460141806
33	Spectrogram 1	1	8189.wav	30.6323	0.7735	2513.347	336.859352949	337.632824540
34	Spectrogram 1	1	8189.wav	62.4070	0.7735	2809.035	368.634064895	369.407536486
35	Spectrogram 1	1	8189.wav	72.7241	0.7610	2759.754	378.951177883	379.712174125
36	Spectrogram 1	1	8189.wav	71.5015	0.7485	2759.754	377.728593756	378.477114650
37	Spectrogram 1	1	8189.wav	73.9093	0.6986	2661.191	380.136335965	380.834955466
38	Spectrogram 1	1	8189.wav	75.1194	0.6362	2858.316	381.346444743	381.982687503
39	Spectrogram 1	1	8189.wav	76.1423	0.6861	2611.910	382.369423298	383.055567451
40	Spectrogram 1	1	8189.wav	77.2402	0.6737	2464.066	383.467253943	384.140922747
41	Spectrogram 1	1	8189.wav	91.0753	0.7735	2809.035	397.302415131	398.075886722
42	Spectrogram 1	1	8189.wav	92.2730	0.6487	3104.723	398.500048562	399.148766670
43	Spectrogram 1	1	8189.wav	93.2835	0.8483	3006.160	399.510551768	400.358875448
44	Spectrogram 1	1	8189.wav	94.3813	0.8234	3498.973	400.608382413	401.431755396
45	Spectrogram 1	1	8189.wav	95.5166	0.8857	3351.129	401.743639102	402.629388826
46	Spectrogram 1	1	8189.wav	96.6144	0.8733	3351.129	402.841469746	403.714744122
47	Spectrogram 1	1	8189.wav	97.7621	1.0729	3203.285	403.989201784	405.062081731
48	Spectrogram 1	1	8189.wav	127.4160	1.6717	5174.538	433.643104530	435.314801193
49	Spectrogram 1	1	8189.wav	129.4495	1.7715	4090.349	435.676586292	437.448085741
50	Spectrogram 1	1	8189.wav	131.6576	0.7610	4928.131	437.884722929	438.645719171
51	Spectrogram 1	1	8189.wav	132.7929	0.7610	4829.569	439.019979618	439.780975860
52	Spectrogram 1	1	8189.wav	133.8783	1.5844	5420.945	440.105334914	441.689704139
53	Spectrogram 1	1	8189.wav	135.8119	0.7111	4681.725	442.039013890	442.750108739
54	Spectrogram 1	1	8189.wav	136.8723	0.7485	4829.569	443.099418490	443.847939383
55	Spectrogram 1	1	8189.wav	138.1199	0.8358	4681.725	444.346953313	445.182801644
56	Spectrogram 1	1	8189.wav	162.1349	0.9232	4386.037	468.361998659	469.285174428
57	Spectrogram 1	1	8189.wav	163.3450	0.8109	4583.162	469.572107437	470.383005072
58	Spectrogram 1	1	8189.wav	164.5676	0.7984	4829.569	470.794691564	471.593113851
59	Spectrogram 1	1	8189.wav	165.6779	0.7984	4731.006	471.904997556	472.703419843
60	Spectrogram 1	1	8189.wav	166.8880	0.7984	5026.694	473.115106335	473.913528622
61	Spectrogram 1	1	8189.wav	168.0732	0.9357	4928.131	474.300264417	475.235915534
62	Spectrogram 1	1	8189.wav	188.5951	0.8234	3055.441	494.822212258	495.645585241
63	Spectrogram 1	1	8189.wav	189.7928	0.7984	3203.285	496.019845688	496.818267975
64	Spectrogram 1	1	8189.wav	190.8532	0.7859	3006.160	497.080250288	497.866197226
65	Spectrogram 1	1	8189.wav	191.9884	2.6572	3400.411	498.215506977	500.872756150
66	Spectrogram 1	1	8189.wav	194.9576	1.7341	3400.411	501.184639856	502.918713260
1	Spectrogram 1	1	rcatesbeiana406.wav	0.1210	0.9310	6691.306	0.121028894	1.052020386
2	Spectrogram 1	1	rcatesbeiana406.wav	1.5268	0.9589	6627.275	1.526826047	2.485747284
3	Spectrogram 1	1	rcatesbeiana4062.wav	0.0762	0.8565	4674.310	2.792974477	3.649486649
