Selection	View	Channel	Begin File	File Offset (s)	Delta Time (s)	High Freq (Hz)	Begin Time (s)	End Time (s)
1	Spectrogram 1	1	Rana_draytonii1.wav	0.1251	2.3682	2036.590	0.125147934	2.493331917
2	Spectrogram 1	1	Rana_draytonii1.wav	2.8784	2.7821	2036.590	2.878402484	5.660537326
3	Spectrogram 1	1	Rana_draytonii1.wav	6.5366	3.8507	2075.755	6.536572864	10.387278528
4	Spectrogram 1	1	Rana_draytonii1.wav	10.7724	5.6365	2545.737	10.772349094	16.408819510
5	Spectrogram 1	1	Rana_draytonii1.wav	17.1741	1.3702	2506.572	17.174147260	18.544392431
6	Spectrogram 1	1	Rana_draytonii1.wav	19.8937	2.9209	1997.425	19.893708135	22.814642333
7	Spectrogram 1	1	Rana_draytonii1.wav	24.0236	1.2322	1840.764	24.023589960	25.255815772
8	Spectrogram 1	1	Rana_draytonii1.wav	25.8430	2.2815	2114.920	25.843048386	28.124591492
9	Spectrogram 1	1	Rana_draytonii2.wav	0.0656	1.2900	1997.425	30.367627541	31.657613938
10	Spectrogram 1	1	Rana_draytonii2.wav	4.0992	1.2611	1801.599	34.401241723	35.662347828
11	Spectrogram 1	1	Rana_draytonii38.wav	0.1690	1.5403	2232.416	36.191819857	37.732102123
12	Spectrogram 1	1	Rana_draytonii38.wav	2.7008	1.8488	1997.425	38.723658831	40.572413338
13	Spectrogram 1	1	Rana_draytonii38.wav	5.1540	1.3266	1967.973	41.176854858	42.503486245
14	Spectrogram 1	1	Rana_draytonii38.wav	7.2543	1.0343	2193.250	43.277118278	44.311453694
15	Spectrogram 1	1	Rana_draytonii38.wav	9.1678	1.2324	2152.811	45.190641359	46.423074068
16	Spectrogram 1	1	Rana_draytonii38.wav	11.8462	0.8672	2310.746	47.869084782	48.736328075
17	Spectrogram 1	1	Rana_draytonii38.wav	13.3650	1.2089	2239.793	49.387868933	50.596751973
18	Spectrogram 1	1	Rana_draytonii38.wav	16.0820	0.9702	2702.398	52.104861013	53.075068854
19	Spectrogram 1	1	Rana_draytonii38.wav	17.4604	1.0833	2598.595	53.483263127	54.566547929
20	Spectrogram 1	1	Rana_draytonii38.wav	21.9158	1.0265	2506.572	57.938680093	58.965194221
21	Spectrogram 1	1	Rana_draytonii38.wav	23.8765	1.2952	2500.740	59.899331115	61.194562943
22	Spectrogram 1	1	rdraaytoniilong.wav	0.2206	2.1468	1958.259	63.541456834	65.688225241
23	Spectrogram 1	1	rdraaytoniilong.wav	2.9065	2.8206	2232.416	66.227324034	69.047965933
24	Spectrogram 1	1	rdraaytoniilong.wav	6.5262	3.8700	2467.407	69.846987358	73.716946550
25	Spectrogram 1	1	rdraaytoniilong.wav	10.7908	0.9627	2428.242	74.111643881	75.074320297
26	Spectrogram 1	1	rdraaytoniilong.wav	12.1001	1.1552	2389.076	75.420883807	76.576095506
27	Spectrogram 1	1	rdraaytoniilong.wav	13.6885	1.2996	2467.407	77.009299893	78.308913054
28	Spectrogram 1	1	rdraaytoniilong.wav	15.4213	1.1745	2389.076	78.742117441	79.916582669
29	Spectrogram 1	1	rdraaytoniilong.wav	17.2119	1.3260	2359.393	80.532695575	81.858670239
30	Spectrogram 1	1	rdraaytoniilong.wav	19.8881	1.3477	1801.599	83.208936011	84.556682994
31	Spectrogram 1	1	rdraaytoniilong.wav	21.4477	1.2060	1684.103	84.768471805	85.974505309
32	Spectrogram 1	1	rdraaytoniilong.wav	24.0661	1.2419	1958.259	87.386951657	88.628804233
33	Spectrogram 1	1	rdraaytoniilong.wav	25.8086	2.3393	1879.929	89.129395969	91.468699660
34	Spectrogram 1	1	rdraytonii22mt308.wav	1.2730	1.0204	2428.242	94.895827701	95.916264702
35	Spectrogram 1	1	rdraytonii22mt308.wav	7.8384	0.9916	2428.242	101.461280858	102.452837566
36	Spectrogram 1	1	rdraytonii22mt308.wav	15.4436	1.0782	1684.103	109.066424543	110.144622129
37	Spectrogram 1	1	rdraytonii22mt308.wav	18.7070	0.9216	1762.433	112.329897594	113.251543716
38	Spectrogram 1	1	rdraytoniilong2.wav	0.0828	1.0012	1449.112	115.988067974	116.989251447
39	Spectrogram 1	1	rdraytoniilong2.wav	2.8841	2.2045	1684.103	118.789456344	120.993985337
40	Spectrogram 1	1	rdraytoniilong2.wav	6.2246	1.2804	1840.764	122.129943508	123.410303141
41	Spectrogram 1	1	rdraytoniilong2.wav	8.4195	0.9900	1919.094	124.324845736	125.314820724
42	Spectrogram 1	1	rdraytoniilong2.wav	11.4231	4.8326	1840.764	127.328396154	132.161031762
43	Spectrogram 1	1	rdraytoniilong2.wav	17.7864	2.0698	1801.599	133.691687263	135.761441557
44	Spectrogram 1	1	rdraytoniilong2.wav	20.5878	2.4110	1723.268	136.493075634	138.904055335
45	Spectrogram 1	1	rdraytoniilong2.wav	25.9596	1.1853	1456.953	141.864939895	143.050273264
46	Spectrogram 1	1	rdraytoniilong4.wav	0.2754	0.8664	1801.599	145.908050981	146.774459756
47	Spectrogram 1	1	rdraytoniilong4.wav	2.8072	1.2130	1566.607	148.439889955	149.652862239
48	Spectrogram 1	1	rdraytoniilong4.wav	4.2994	0.8953	2741.563	149.932038400	150.827327467
49	Spectrogram 1	1	rdraytoniilong4.wav	5.9841	0.7272	1684.103	151.616722128	152.343956402
50	Spectrogram 1	1	rdraytoniilong4.wav	8.8336	2.6955	1723.268	154.466244319	157.161738284
51	Spectrogram 1	1	rdraytoniilong4.wav	12.0778	0.8472	1919.094	157.710463841	158.557619087
52	Spectrogram 1	1	rdraytoniilong4.wav	13.4737	0.9627	1919.094	159.106344644	160.069021060
53	Spectrogram 1	1	rdraytoniilong4.wav	14.7348	3.6485	1684.103	160.367450749	164.015994365
54	Spectrogram 1	1	rdraytoniilong4.wav	19.3845	1.2226	1644.938	165.017177838	166.239776886
55	Spectrogram 1	1	rdraytoniilong4.wav	21.0981	0.8375	2271.581	166.730741858	167.568270340
56	Spectrogram 1	1	rdraytoniilong4.wav	22.3399	2.7436	1958.259	167.972594435	170.716222220
57	Spectrogram 1	1	rdraytoniilong4.wav	26.0550	0.6652	1644.938	171.687620211	172.352772127
58	Spectrogram 1	1	rdraytoniilong4.wav	27.0089	1.0870	1762.433	172.641575052	173.728591575
59	Spectrogram 1	1	rdraytoniimc210.wav	0.8228	0.7990	1253.286	176.078329857	176.877351282
60	Spectrogram 1	1	rdraytoniimc210.wav	2.1802	2.3682	1605.773	177.435703603	179.803887586
61	Spectrogram 1	1	rdraytoniimc210.wav	5.1549	0.7894	1566.607	180.410373729	181.199768390
62	Spectrogram 1	1	rdraytoniimc210.wav	6.6278	1.0108	1292.451	181.883268645	182.894078882
63	Spectrogram 1	1	rdraytoniimc210.wav	8.1007	1.1167	1723.268	183.356163561	184.472868204
64	Spectrogram 1	1	rdraytoniimc210.wav	9.5735	0.8953	1605.773	184.829058478	185.724347544
65	Spectrogram 1	1	rdraytoniimc210.wav	11.3738	2.0890	1840.764	186.629263375	188.718271198
66	Spectrogram 1	1	rdraytoniimc210.wav	14.0404	0.9916	1488.277	189.295877048	190.287433756
67	Spectrogram 1	1	rdraytoniimc210.wav	15.8406	1.1745	1879.929	191.096081945	192.270547173
68	Spectrogram 1	1	rdraytoniimc210.wav	18.2569	1.1167	1253.286	193.512399749	194.629104392
69	Spectrogram 1	1	rdraytoniimc210.wav	20.2207	1.1841	1370.782	195.476259638	196.660351630
70	Spectrogram 1	1	rdraytoniimc210.wav	22.5408	0.9627	1370.782	197.796309800	198.758986216
71	Spectrogram 1	1	rdraytoniimc210.wav	24.3988	1.4921	1762.433	199.654275283	201.146423728
72	Spectrogram 1	1	rdraytoniimc210.wav	26.8632	1.9446	1723.268	202.118726908	204.063333268
73	Spectrogram 1	1	rdraytoniimc210.wav	29.3758	1.4055	1723.268	204.631312353	206.036819921
74	Spectrogram 1	1	rdraytoniimc210.wav	31.5611	0.9819	1566.607	206.816587818	207.798517762
75	Spectrogram 1	1	rdraytoniimc210.wav	33.4768	1.1937	2310.746	208.732313885	209.926032641
76	Spectrogram 1	1	rdraytoniimc210.wav	35.8354	1.1071	1840.764	211.090871104	212.197948983
77	Spectrogram 1	1	rdraytoniimc210.wav	37.6163	1.2900	2389.076	212.871822474	214.161808871
78	Spectrogram 1	1	rdraytoniimc210.wav	40.3888	0.9338	1919.094	215.644330552	216.578126675
79	Spectrogram 1	1	rdraytoniimc210.wav	41.7462	1.1167	2467.407	217.001704298	218.118408941
80	Spectrogram 1	1	rdraytoniimc210.wav	46.1649	1.0782	1762.433	221.420389047	222.498586633
81	Spectrogram 1	1	rdraytoniimc210.wav	48.1769	1.2900	2036.590	223.432382757	224.722369154
82	Spectrogram 1	1	rdraytoniimc210.wav	61.0575	2.7147	1723.268	236.312993202	239.027740695
83	Spectrogram 1	1	rdraytoniimc210.wav	76.7395	1.2804	1762.433	251.994992018	253.275351651
84	Spectrogram 1	1	rdraytoniimc210.wav	88.4938	1.3092	1840.764	263.749271056	265.058510982
85	Spectrogram 1	1	rdraytoniimt3082edit709.wav	0.0686	1.0716	1644.938	266.204095917	267.275711608
86	Spectrogram 1	1	rdraytoniio4mt3082.wav	0.3568	1.0574	1605.773	269.130632221	270.188020748
87	Spectrogram 1	1	rdraytoniishort.wav	0.1062	1.2419	1919.094	272.798429366	274.040281942
88	Spectrogram 1	1	rdraytoniishort.wav	4.0724	1.3092	2036.590	276.764656200	278.073896125
89	Spectrogram 1	1	rdraytoniishortgrowl2.wav	0.1229	1.1067	1879.929	278.535980805	279.642641267
